UserID,ItemID,Rating
1,101,4.1
2,102,5.2
3,103,6.3
4,104,7.4
5,105,3.5
6,106,4.6
7,107,5.7
8,108,6.8
9,109,7.9
10,110,3.0
11,111,4.1
12,112,5.2
13,113,6.3
14,114,7.4
15,115,3.5
16,116,4.6
17,117,5.7
18,118,6.8
19,119,7.9
20,120,3.0
21,121,4.1
22,122,5.2
23,123,6.3
24,124,7.4
25,125,3.5
26,126,4.6
27,127,5.7
28,128,6.8
29,129,7.9
30,130,3.0
31,131,4.1
32,132,5.2
33,133,6.3
34,134,7.4
35,135,3.5
36,136,4.6
37,137,5.7
38,138,6.8
39,139,7.9
40,140,3.0
41,141,4.1
42,142,5.2
43,143,6.3
44,144,7.4
45,145,3.5
46,146,4.6
47,147,5.7
48,148,6.8
49,149,7.9
50,150,3.0
51,151,4.1
52,152,5.2
53,153,6.3
54,154,7.4
55,155,3.5
56,156,4.6
57,157,5.7
58,158,6.8
59,159,7.9
60,160,3.0
61,161,4.1
62,162,5.2
63,163,6.3
64,164,7.4
65,165,3.5
66,166,4.6
67,167,5.7
68,168,6.8
69,169,7.9
70,170,3.0
71,171,4.1
72,172,5.2
73,173,6.3
74,174,7.4
75,175,3.5
76,176,4.6
77,177,5.7
78,178,6.8
79,179,7.9
80,180,3.0
81,181,4.1
82,182,5.2
83,183,6.3
84,184,7.4
85,185,3.5
86,186,4.6
87,187,5.7
88,188,6.8
89,189,7.9
90,190,3.0
91,191,4.1
92,192,5.2
93,193,6.3
94,194,7.4
95,195,3.5
96,196,4.6
97,197,5.7
98,198,6.8
99,199,7.9
100,200,3.0
